accommodates,bathrooms,cleaning_fee,review_scores_rating,bedrooms,beds,log_price,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,instant_bookable_f,instant_bookable_t
3.0,1.0,1.0,100.0,1.0,1.0,5.010635294,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
7.0,1.0,1.0,93.0,3.0,3.0,5.129898715,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
5.0,1.0,1.0,92.0,1.0,3.0,4.976733742,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
4.0,1.0,1.0,93.2,2.0,2.0,6.620073207,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
2.0,1.0,1.0,40.0,0.0,1.0,4.744932128,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,100.0,1.0,1.0,4.442651256,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
3.0,1.0,1.0,97.0,1.0,1.0,4.418840608,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,93.0,1.0,1.0,4.787491743,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,1.0,1.0,99.0,1.0,1.0,4.787491743,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,1.0,1.0,90.0,1.0,1.0,3.583518938,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,93.0,1.0,1.0,4.605170186,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4.0,1.5,1.0,97.0,2.0,2.0,5.010635294,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,1.0,1.0,94.2,1.0,1.0,4.248495242,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
6.0,1.5,1.0,89.0,2.0,3.0,5.298317367,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,1.0,1.0,100.0,1.0,1.0,4.955827058,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,1.5,1.0,91.4,1.0,1.0,4.094344562,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
2.0,1.0,0.0,91.0,1.0,1.0,4.317488114,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,2.0,1.0,88.0,1.0,1.0,4.59511985,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,1.0,1.0,86.0,1.0,2.0,4.882801923,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
8.0,1.0,1.0,72.0,3.0,3.0,4.59511985,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
2.0,1.0,1.0,98.0,1.0,1.0,4.382026635,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,1.5,1.0,89.0,1.0,1.0,3.688879454,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4.0,1.0,1.0,99.0,1.0,1.0,4.905274778,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,100.0,1.0,1.0,4.007333185,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4.0,1.0,1.0,98.0,1.0,2.0,6.956545443,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
6.0,1.0,1.0,100.0,3.0,3.0,5.003946306,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,1.0,1.0,100.0,1.0,1.0,4.553876892,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
4.0,1.0,1.0,100.0,2.0,2.0,5.003946306,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
3.0,1.0,1.0,95.0,1.0,2.0,5.192956851,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0
3.0,1.0,1.0,88.0,1.0,2.0,4.65396035,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,1.0,1.0,100.0,1.0,1.0,4.317488114,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
2.0,1.0,1.0,92.4,1.0,1.0,3.828641396,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
4.0,1.0,1.0,96.0,2.0,3.0,5.220355825,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
1.0,1.3,1.0,99.0,1.0,1.0,4.48863637,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
4.0,1.0,1.0,94.2,1.0,2.0,4.356708827,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2.0,1.0,1.0,96.0,1.0,1.0,4.382026635,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
2.0,1.0,1.0,96.0,1.0,1.0,4.828313737,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
1.0,1.0,1.0,84.0,1.0,1.0,3.912023005,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
